m.09gjxn	 people person education	m.02zd2b
m.022syq	 people person nationality	m.0d05w3
m.02r48h_	 education education student	m.0dzst
m.0gzb9b	 people person place of birth	m.01nl79
m.07z1m	 location location contains	m.04c1120
m.09c7w0	 government governmental jurisdiction governing officials	m.01yfxl
m.01pw9v	 people deceased person place of death	m.0136jw
m.09xd86	 education education student	m.025v3k
m.07szy	 education education institution	m.03d8zjr
m.0chghy	 location location contains	m.0851vz
m.09pt_k	 american football football player games	m.03lsq
m.02bc74	 people person nationality	m.09c7w0
m.02n0zk	 people person nationality	m.0d060g
m.026c1	 base popstra celebrity canoodled	m.06q5t7
m.03kdl	 government government position held appointed by	m.09c7w0
m.07rp6w	 people person place of birth	m.04jpl
m.01n7q	 location location contains	m.01zlwg6
m.0dqv8t	 people person education	m.04vn2m
m.04hz1my	 people person place lived	m.031sn
m.03zcjf	 base popstra dated participant	m.01v40wd
m.06swms	 business company headquarters	m.0d0x8
m.046pqq	 people marriage spouse	m.086rld
m.0qlry	 people person spouse s	m.09d4_
m.05pdh86	 film film release date s	m.0k6nt
m.01m3mb	 film actor film	m.011ykb
m.06_ckvq	 location location street address	m.059f4
m.01d0bh	 people person nationality	m.03rjj
m.064376h	 base popstra company fashion choice	m.03rl84
m.0d35y	 location mailing address citytown	m.07ydt0
m.01kmd4	 base popstra celebrity dated	m.01jbx1
m.05k7sb	 government government position held district represented	m.053n7b
m.0bj8tk	 people person nationality	m.09c7w0
m.0gt_k	 people person ethnicity	m.041rx
m.0c3x38	 people deceased person place of death	m.0chgzm
m.0fqjhm	 base popstra celebrity breakup	m.06_bq1
m.030qb3t	 location location people born here	m.0gdh7j
m.052m4g	 people person ethnicity	m.0x67
m.05k7sb	 location location contains	m.0t_5p
m.05t2t1	 sports pro athlete teams	m.0jnkr
m.07tg4	 education educational institution students graduates	m.0149vp
m.0fd_1	 people person education	m.01w5m
m.0mnst	 location location contains	m.04c2c0s
m.0h0_y2	 people person place of birth	m.0fthl
m.0409k7	 business company board membership organization	m.03wqzwb
m.0hctb	 baseball baseball player batting stats	m.07l8x
m.0498y	 people place lived location	m.056z9_
m.0d05w3	 dataworld gardening hint split to	m.06wjf
m.01cx_	 location location people born here	m.0btwjs
m.084l5	 sports sports team roster	m.0cwlgg
m.01yx1b	 education educational institution students graduates	m.08lx7n
m.0d060g	 base popstra location vacationers	m.0lx2l
m.07tds	 business employer employees	m.0gwywf
m.0217hr	 location religion percentage religion	m.0gyh
m.027th9f	 people marriage spouse	m.0251l9
m.05fkf	 location administrative division capital relationship administrative division	m.0fvyg
m.0jm74	 basketball basketball player stats team	m.05jkgv
m.03dt4n	 people person education	m.07tg4
m.0ftvz	 location administrative division capital relationship capital	m.02xry
m.03rjj	 government government position held jurisdiction of office	m.0177g
m.08gf9t	 american football football player rushing	m.01xvb
m.0498y	 location mailing address state province region	m.0225bv
m.06m7v	 base biblioness bibs location state	m.081yw
m.0bwfn	 education educational institution students graduates	m.05b43l
m.0h600j	 people person place lived	m.05fly
m.02h___	 education education student	m.02lwv5
m.05pdh86	 film film release date s	m.0345h
m.04g3g3q	 medicine hospital address	m.02_286
m.03v12k	 user robert us congress us representative state	m.07b_l
m.01sbx0	 people person education	m.03mgtvy
m.0qyzb	 location location people born here	m.03jy3w
m.02hdjz	 people person education	m.05r4_p
m.06s475	 people person education	m.01w5m
m.05tfm	 sports sports team roster	m.0855sw
m.012gr9	 base schemastaging coach athlete relationship athlete	m.0cp37x
m.056qc9	 influence influence node influenced by	m.0443c
m.04c7wb0	 location location containedby	m.081mh
m.01nv8t	 base americancomedy impersonated celebrity impersonated by	m.03m6t5
m.05clyz	 baseball baseball player batting stats	m.049n7
m.0r5xy	 location hud county place county	m.0l2vz
m.0fvzg	 people place lived location	m.0476l
m.02_88z	 location location containedby	m.0cv3w
m.02y42_	 location location containedby	m.04vmp
m.061xq	 baseball batting statistics team	m.05clyz
m.0pspl	 education educational institution students graduates	m.02vx4jy
m.0r639	 people place lived location	m.06_0xd
m.02rdf6	 people person nationality	m.0f8l9c
m.03lh3v	 olympics olympic athlete medals won	m.02hf9k
m.0b1z_0	 people person place lived	m.0d6lp
m.0h1m9	 base popstra celebrity friendship	m.044qx
m.07t58	 government governmental body members	m.01lct6
m.07ssc	 location mailing address citytown	m.010rjl
m.09r683	 business company headquarters	m.03v0t
m.03cpljt	 people person nationality	m.09c7w0
m.05mxwp	 sports pro athlete teams	m.0jmdb
m.09b0ty	 people person place lived	m.04p3c
m.03nf04	 olympics olympic athlete medals won	m.01sg7_
m.03ctc25	 people person place lived	m.026g1bl
m.0256nw	 people person nationality	m.09c7w0
m.02j9z	 location location contains	m.05x7b
m.01445t	 people profession people with this profession	m.012sk_
m.029cr	 location location contains	m.02bjhv
m.0g8lsf	 location location people born here	m.02ryx0
m.01cx_	 people place lived location	m.0818w0
m.06zghs	 education education student	m.01w5m
m.0gztl	 aviation airline focus cities	m.01mz2g
m.0qrrp	 location location containedby	m.09c7w0
m.06ndfz	 people person education	m.0bwfn
m.02xry	 people place lived location	m.02_jvp
m.027jjn	 base popstra friendship participant	m.09l3p
m.02_286	 location location people born here	m.02pw8xg
m.0ffmp	 people place lived location	m.02810c9
m.01m9p9	 location location containedby	m.059rby
m.028t4w	 olympics olympic athlete medals won	m.04lvys
m.03flxt	 people person nationality	m.0d0vqn
m.05jbn	 people place lived location	m.016cdn
m.0chghy	 location location contains	m.02wnvk
m.05p0srw	 music artist label	m.02bh8z
m.0gyh	 location mailing address state province region	m.057mhc
m.016_mj	 celebrities celebrity celebrity friends	m.0q5hw
m.0b697g	 people person education	m.0g8rj
m.05zrx3v	 business employment tenure person	m.030_1m
m.01h7mv	 location location containedby	m.02cft
m.0r04p	 location location people born here	m.02lqgz
m.068qw3	 business company parent	m.0292bk
m.04rrd	 location location contains	m.0498fb2
m.03pftv	 people person ethnicity	m.0x67
m.020d8d	 location location containedby	m.07ssc
m.0f7h2g	 people person ethnicity	m.041rx
m.0rj0z	 location adjoining relationship adjoins	m.0rjg8
m.03ldxq	 tv tv regular personal appearance person	m.02zvg_
m.011k11	 music record label artist	m.01bczm
m.0x67	 people ethnicity people	m.06pjs
m.03tqkh	 people person nationality	m.09c7w0
m.03gj2	 user lapax default domain landlocked country surrounded by	m.06t8v
m.04jq2x7	 sports pro athlete teams	m.0jmcv
m.01y1ps	 education educational institution campus educational institution	m.01y1ps
m.0488g	 location mailing address state province region	m.01xl5
m.04ybvny	 location location street address	m.04rrd
m.01xt0w	 base schemastaging organization extra phone number	m.01f08r
m.059tyq	 education education student	m.02607j
m.03bw4m	 people person nationality	m.07ssc
m.02_286	 people place lived location	m.03swmf
m.04s_q	 music artist label	m.015_1q
m.09w9f7	 business employment tenure person	m.0gztl
m.09c7w0	 location location contains	m.0qz6f
m.01jnt_	 olympics olympic athlete medals won	m.09c7w0
m.02htv6	 education educational institution students graduates	m.05cw7r
m.0ftdd	 business company headquarters	m.09c7w0
m.0169dl	 people person nationality	m.09c7w0
m.041rx	 people ethnicity people	m.0cbtzl
m.04b67k9	 location location containedby	m.05fkf
m.0lvng	 education educational institution students graduates	m.03_nq
m.0mcf4	 music record label artist	m.08p5mm
m.06cgmv	 people person nationality	m.07ssc
m.0jbs5	 base popstra vacation choice location	m.01yf85
m.01npv3	 business company leadership	m.01xlbj
m.02k75s	 people person education	m.0f1nl
m.02h7hyr	 protected sites site listing category listed sites	m.03nfmq
m.0d0nv9	 sports sports team roster player	m.05l71
m.05bnp0	 base popstra celebrity canoodled	m.01pgzn_
m.01s3v	 location location people born here	m.01xp83
m.0jnrk	 sports sports team roster	m.07_xj8
m.037mh8	 education education major field of study	m.06pwq
m.0456xp	 base popstra celebrity infidelity victim	m.01r93l
m.02rr7fp	 people person place lived	m.030qb3t
m.0100mt	 location administrative division capital relationship capital	m.0mrx8
m.01lcxbb	 influence influence node influenced	m.01m3x5p
m.059rby	 location mailing address state province region	m.0hpvh
m.03ksy	 education educational institution students graduates	m.01m3xg
m.06q8hf	 business employment tenure person	m.027h_fm
m.0240z3	 people person nationality	m.09c7w0
m.03f2327	 people person place lived	m.0cc56
m.08815	 education educational institution students graduates	m.0g1xc3
m.013yq	 location mailing address citytown	m.0dt2fg
m.0952ph	 location location containedby	m.01n7q
m.04vn5	 american football player passing statistics team	m.027fcy
m.04ych	 base biblioness bibs location country	m.09c7w0
m.03cg346	 people person nationality	m.09c7w0
m.09c7w0	 location location contains	m.0rg1y
m.09kvv	 business employer employees	m.0dvd5y
m.06zh_t	 influence influence node influenced	m.02kdsb
m.049bl9	 people person place lived	m.0rd6b
m.0y2c0	 location location containedby	m.0cyn3
m.0dzkq	 influence influence node influenced	m.017bcv
m.05mldx	 people person nationality	m.09c7w0
m.020ynq	 people person education	m.03v6t
m.0rwxh	 location location containedby	m.0d0x8
m.045szg	 olympics olympic athlete medals won	m.08j6db
m.0r111	 people place lived location	m.06kgzw
m.02kzfw	 business employer employees	m.05k17c
m.017jv5	 film film distributor films distributed	m.037_84
m.06fwsp	 baseball baseball player batting stats	m.01d6g
m.04_frh	 people person nationality	m.09c7w0
m.06pwq	 business employer employees	m.04nxw6
m.01v0m4	 education education institution	m.05zw8q7
m.015jr	 location location contains	m.01wphr
m.0hfwb	 olympics olympic athlete medals won	m.09c7w0
m.061xq	 baseball batting statistics team	m.0fbv4m
m.02yxk3	 business person company	m.01tjvg
m.08c9_h	 book periodical language	m.09c7w0
m.01x73	 people place lived location	m.025xcfx
m.09c7w0	 olympics olympic participating country athletes	m.04bbs4
m.09c7w0	 location location people born here	m.0g0x46
m.03gzfmy	 education education student	m.03ksy
m.04xktv	 education education student	m.04ftdq
m.08mw32	 organization leadership person	m.0cccs
m.06f5j	 symbols name source namesakes	m.06gq_
m.05x_5	 education educational institution students graduates	m.0bhrt_
m.03d9775	 business company relationship child	m.02__p6
m.0x6sy	 location hud county place place	m.0x6sy
m.03s0w	 location location contains	m.0t37_
m.01fvnh	 government politician government positions held	m.03ryn
m.012n1t	 geography river basin countries	m.09c7w0
m.03lpl1	 people person education	m.08815
m.071x0k	 people ethnicity languages spoken	m.06nm1
m.0bdv5w	 sports pro athlete teams	m.043vc
m.02x7m33	 people person employment history	m.065trk
m.08k5q6	 people person education	m.01yx1b
m.0713r	 sports sports team roster team	m.02lqkv
m.02ww7h	 transportation bridge body of water spanned	m.02z4zg
m.0c1jh	 influence influence node influenced	m.03_87
m.03337q	 people person place lived	m.0fsb8
m.072jq_	 government politician government positions held	m.05tbn
m.0854b	 business company founder organizations founded	m.018cy
m.0mm1q	 base popstra friendship participant	m.030_00
m.02348n	 people person nationality	m.09c7w0
m.030qb3t	 location location people born here	m.098s9k
m.01jz6d	 sports sports team roster player	m.0jm7n
m.0g7txx	 sports sports team owner teams owned	m.0jm5b
m.0cwhpj	 sports sports team roster player	m.05g3b
m.07w9n	 location location containedby	m.012wgb
m.014zws	 education educational institution students graduates	m.02r6pft
m.0c9c0	 influence influence node influenced by	m.01n4j
m.02__x	 baseball batting statistics team	m.02zsw8
m.032ckq	 people person employment history	m.0g8rj
m.01j_cy	 education educational institution students graduates	m.039xnr
m.0d8w2n	 film film featured film locations	m.0cr3d
m.05zl0	 education educational institution students graduates	m.018_3q
m.098sfq	 people person nationality	m.09c7w0
m.059z0	 military military combatant group combatants	m.0d060g
m.01d6g	 baseball batting statistics team	m.05c8ll
m.05mscxv	 people person education	m.01k2wn
m.0kygv	 base popstra vacation choice location	m.015z4j
m.06403h	 people person place lived	m.06yxd
m.0512p	 baseball batting statistics team	m.086djf
m.01n7q	 location location contains	m.03tmkg
m.04zk9x	 people marriage spouse	m.02jr26
m.094jv	 people place lived location	m.01mlfn5
m.03s5t	 location location contains	m.0s0qn
m.0bsxlt	 baseball baseball player batting stats	m.0x2p
m.06s_2	 location adjoining relationship adjoins	m.0j3b
m.026nh	 education education student	m.03ksy
m.01ls2	 film film regional release date film release region	m.03q0r1
m.09jr4l	 base schemastaging golfer extra caddies	m.0dn1nh
m.01669b	 base aareas schema administrative area administrative children	m.02crh9
m.0bsd_l	 film performance film	m.01l7qw
m.07szy	 education educational institution students graduates	m.04d06y1
m.05r4w	 location statistical region places exported to	m.04wgh
m.036jyk	 education education student	m.078bz
m.08815	 education educational institution students graduates	m.0ghkwh
m.0g_5z4	 influence influence node influenced by	m.0hp96
m.07szy	 education education institution	m.047bgj
m.02tlx1	 baseball baseball manager former teams managed	m.0713r
m.02y5kn	 people profession people with this profession	m.02pvp78
m.084nh	 influence influence node influenced	m.01wd02c
m.028t4w	 olympics olympic medal honor medalist	m.028r9c
m.01c0h6	 location administrative division country	m.03rk0
m.01znc_	 location imports and exports imported from	m.0h3y
m.05g49	 american football player game statistics team	m.0c1pk3
m.01k4f	 people marriage location of ceremony	m.01c9j8
m.02vsp	 people person religion	m.03_gx
m.0bg1gw	 people person place lived	m.07b_l
m.08815	 education educational institution students graduates	m.03wpvy1
m.04g5k	 base locations countries continent	m.02j9z
m.02kykd	 business company headquarters	m.02_286
m.013f1h	 location location people born here	m.040tcr
m.0ql36	 people person nationality	m.09c7w0
m.0dclrx	 business company headquarters	m.06bnz
m.0j0k	 location location contains	m.06f32
m.0x67	 people ethnicity people	m.04f35d9
m.08966	 base biblioness bibs location country	m.06mzp
m.0fvr_n	 education education institution	m.03nb733
m.08wnd5	 people person nationality	m.09c7w0
m.0jm3v	 sports sports team roster team	m.04rpfv
m.01k7xz	 education education institution	m.0272y_g
m.04mc6g	 business company headquarters	m.02h6_6p
m.02_b1q	 people person place of birth	m.01_d4
m.01wdl3	 business person company	m.09x1z_
m.07tt1y	 business board member leader of	m.04sv4
m.03h64	 location mailing address country	m.046rnk
m.0kxkv	 people person religion	m.01spm
m.05zs4l	 symbols namesake named after	m.07hyk
m.0c3t71	 people person place lived	m.06yxd
m.0mzww	 location mailing address citytown	m.04d0yfm
m.01xj3	 influence influence node influenced by	m.072dv
m.03hkc9r	 people person nationality	m.07ssc
m.07b_l	 government government position held jurisdiction of office	m.02nlj_
m.01w65s	 location place with neighborhoods neighborhoods	m.02jdwl
m.0g_2k	 influence influence node influenced	m.0hb1b
m.0bv5n	 influence influence node influenced by	m.0bv6k
m.01_d4	 location location people born here	m.076wqd
m.02j71	 base aareas schema administrative area administrative children	m.01znc_
m.07ssc	 location mailing address citytown	m.08fml5
m.03jxw	 people person place lived	m.0tygl
m.0156q	 travel travel destination how to get here	m.01744t
m.01btsf	 business company founders	m.03nzf1
m.05zl0	 business person company	m.07qvns
m.061xq	 baseball batting statistics team	m.08lbch
m.05l33f	 people person nationality	m.01znc_
m.02jjdd	 people deceased person place of burial	m.04jpl
m.01x73	 location location contains	m.026zl_3
m.098d2	 people person profession	m.0c5lg
m.0gx_p	 base popstra dated participant	m.0d_84
m.051h1n	 people person nationality	m.06q1r
m.0f5zj6	 people person religion	m.03j6c
m.03r61d	 influence influence node peers	m.02r4s5
m.01k_0fp	 people person place lived	m.01b8w_
m.069sv9	 people person place lived	m.0d6hn
m.09b6zr	 government political appointer appointees	m.02722_
m.0487_	 sports sports team roster	m.08mxr8
m.057xn_m	 celebrities celebrity celebrity friends	m.0dl567
m.0dzst	 education educational institution students graduates	m.0256fy
m.034hbg	 military military service military person	m.07wh1
m.03ksy	 education education institution	m.028_s7
m.04rwx	 education educational institution students graduates	m.02cg9k
m.01m76z	 people person education	m.0217m9
m.01wb5cz	 people person place of birth	m.0fw4v
m.01lp9j	 location location people born here	m.01kcx_w
m.0jkhr	 business person company	m.05xm97h
m.0d6lp	 people place lived location	m.0prfz
m.0cr3d	 location location people born here	m.03y8vx
m.059rby	 location location contains	m.0y8ff
m.05jztm	 base popstra celebrity friendship	m.0m68w
m.01k69k	 people person place lived	m.0t0n5
m.01d5z	 sports sports team roster team	m.068bb_
m.079035	 baseball baseball player batting stats	m.01yjl
m.03d1jgf	 olympics olympic athlete affiliation athlete	m.07ssc
m.085pr	 people person nationality	m.09c7w0
m.0dgxz2	 people person nationality	m.09c7w0
m.01rtm4	 education educational institution students graduates	m.01817f
m.0510ht	 people person ethnicity	m.0x67
m.02vxk4g	 people person place of birth	m.0cr3d
m.02fybl	 celebrities celebrity sexual relationships	m.02114t
m.059rby	 location location contains	m.0xzk6
m.06dnh	 people person place of birth	m.0rf39
m.08djf7	 olympics olympic athlete medals won	m.06bnz
m.04bxjqw	 location location containedby	m.07b_l
m.03jp8m	 education education student	m.017z88
m.01w5m	 business employer employees	m.08tf2n
m.05qkp	 business company member member of	m.07t65
m.03spz	 government government position held jurisdiction of office	m.0krw20
m.02_286	 location mailing address citytown	m.094nyt
m.02psxq1	 people ethnicity included in group	m.0fk3s
m.03d63jl	 people person place of birth	m.0xpqr
m.01xwv7	 people person nationality	m.09c7w0
m.09c7w0	 location mailing address country	m.01xcgf
m.03ksy	 education educational institution students graduates	m.04563
m.0161sp	 music artist origin	m.09c7w0
m.0h7qhm	 education education student	m.01w5m
m.01lbhw	 people person nationality	m.02jx1
m.0bksh	 people person spouse s	m.026r8q
m.02nlj_	 people person nationality	m.09c7w0
m.0h7x	 location adjoining relationship adjoins	m.03rjj
m.0362qw	 people person place of birth	m.0dyl9
m.0b0fjk	 people person nationality	m.09c7w0
m.0r89d	 location location contains	m.05h96ms
m.09c7w0	 olympics olympic athlete affiliation country	m.0504s2
m.01_d4	 location location people born here	m.0dzf_
m.041rx	 people ethnicity people	m.0ftfjf
m.0cpgjh	 people person place of birth	m.0r_x0
m.014ck4	 location location containedby	m.0d05w3
m.0x2p	 baseball batting statistics team	m.0cg47r
m.03wnh	 sports professional sports team draft picks	m.0gznlq
m.01sd_8	 base popstra vacation choice location	m.0jfx1
m.033d3p	 government politician government positions held	m.07t58
m.07bcn	 location location people born here	m.095whr
m.05g1k0	 people person children	m.0btxr
m.0493s28	 location location containedby	m.09c7w0
m.027x0rp	 people person nationality	m.02jx1
m.0jnnx	 sports sports team roster	m.0fbbjt
m.05qtj	 people place lived location	m.0m7cj
m.03ksy	 business employer employees	m.07vtcj
m.02k1b	 base schemastaging phone sandbox service location	m.022gjz
m.0x67	 people ethnicity people	m.09jcms
m.03c_qyd	 american football football player games	m.01xvb
m.059rby	 location mailing address state province region	m.04lh1t5
m.035k6d	 base popstra celebrity shops at	m.02c748
m.0dcxf	 influence peer relationship peers	m.03_87
m.01dw4q	 base popstra celebrity breakup	m.02b9g4
m.0154j	 military military combatant group combatants	m.06bnz
m.051rn_	 base biblioness bibs location country	m.0chghy
m.027w_96	 people person nationality	m.06mkj
m.02114t	 base popstra celebrity dated	m.01kgv4
m.09c7w0	 common phone number service location	m.0by8vb
m.02rtqs	 location location containedby	m.059rby
m.0jmhr	 sports sports team location	m.0f2r6
m.0b_hb	 people person place of birth	m.0c5_3
m.04lkvc	 people person education	m.04_j5s
m.028r_3	 sports pro athlete teams	m.0jnpc
m.05jm7	 influence influence node influenced by	m.03j0d
m.03wnh	 sports sports team roster team	m.0crxl7
m.049006	 people person education	m.0k9wp
m.05wt50	 film film film distributor relationship film	m.0jz9f
m.0y22_	 location location containedby	m.0cyn3
m.08tk0_	 people person place of birth	m.01_d4
m.04llf8	 sports sports league draft pick player	m.01y3v
m.03gkn5	 government government position held office holder	m.09b6zr
m.07l24	 american football player game statistics team	m.062yhn
m.0ctf7z	 business company board membership member	m.05th69
m.0clyf9	 people person employment history	m.0dzst
m.0d54tc	 people person education	m.01w5m
m.01ync	 baseball batting statistics team	m.02wc7nw
m.07b_l	 location location contains	m.013m4v
m.04lffq0	 sports sports team roster player	m.07l4z
m.02d02	 baseball batting statistics team	m.0350g8
m.0bx_q	 base popstra celebrity dated	m.0170s4
m.06l70t	 government government position held appointed by	m.07t58
m.01t3s_	 sports pro athlete teams	m.0hn2q
m.02y5kn	 people profession people with this profession	m.0f1821
m.06wpc	 sports sports team roster team	m.05gmky
m.0x67	 people ethnicity people	m.06nkgp
m.05bmg8	 education education student	m.04b_46
m.0d0x8	 location administrative division country	m.09c7w0
m.08b_8z	 education education student	m.0160nk
m.03cxqp5	 base contractbridge bridge player second place finish	m.02vptk_
m.01xwv7	 influence influence node influenced by	m.014zfs
m.02kpcz	 people person nationality	m.07ssc
m.07x4c	 education educational institution students graduates	m.0gjdlb
m.02zljk	 people person spouse s	m.013423
m.068t4d	 people person place lived	m.0d6lp
m.03msf	 people place lived location	m.02fz3w
m.0kqj1	 education educational institution students graduates	m.03wy63s
m.06npd	 base datedlocationtest dated location break up new locations	m.01mk6
m.0425m0	 business business operation industry	m.02_7t
m.04syk4	 people person parents	m.04f1qs
m.04lf3b	 location location containedby	m.059rby
m.02g839	 education educational institution students graduates	m.01tc9r
m.04cq29	 basketball basketball player player statistics	m.0jmfb
m.06mr6	 base popstra friendship participant	m.010xjr
m.0h0fht	 people person place of birth	m.0sqgt
m.0gbcz	 influence influence node influenced by	m.04093
m.0x67	 people ethnicity people	m.0ccdl3
m.03gyl	 government governmental jurisdiction governing officials	m.0pvcp
m.06s9y	 base aareas schema administrative area administrative parent	m.02j71
m.0hsn_	 people marriage spouse	m.0277mc
m.041rx	 people ethnicity people	m.02k21g
m.01l8n7l	 people person nationality	m.09c7w0
m.01_px	 people deceased person place of death	m.05qtj
m.05cbxp	 sports pro athlete teams	m.01d6g
m.0jmjr	 sports professional sports team draft picks	m.01j_cy
m.05fj8v	 business board member organization board memberships	m.01gx66
m.01bm_	 business company board members	m.092v2s
m.05f962	 sports pro athlete teams	m.01k8vh
m.06_kh	 people place lived location	m.015pkc
m.084w8	 influence influence node influenced by	m.07dnx
m.0bp0zj	 basketball basketball coach team	m.0jm5b
m.0ymxl	 location location people born here	m.02l0sf
m.02pbf3k	 business person company	m.015lzh
m.041c4	 people person spouse s	m.01px6h
m.0bwfn	 education education institution	m.02pj0g8
m.01_f90	 business company board members	m.03c5g1q
m.019fh	 people place lived location	m.0br3dt
m.07t58	 government government position held governmental body	m.019vz0
m.07z1m	 location location contains	m.04c29x1
m.02y5kn	 people profession people with this profession	m.04qkwv
m.01mb87	 location location people born here	m.028dh2
m.052p7	 location location people born here	m.04p0c7
m.05v8c	 film film regional release date film release region	m.012s1d
m.0wxcm	 location location containedby	m.09c7w0
m.0c_20	 base formula1 formula 1 driver team member	m.0h4c9
m.059_c	 government government position held jurisdiction of office	m.0204x1
m.09c7w0	 location location contains	m.0q46t
m.02_jg	 people person nationality	m.09c7w0
m.06plt9	 basketball basketball player player statistics	m.0jm7n
m.0dclg	 location location people born here	m.01k14w
m.0dc71	 symbols name source namesakes	m.07z71f
m.0731h9	 people deceased person place of death	m.0y1rf
m.01558d	 people person place of birth	m.019pcs
m.05jqrb	 location location containedby	m.06bnz
m.08815	 location location containedby	m.0f2nf
m.01j48s	 soccer football player stats team	m.02psm4_
m.0h6dq8	 education education student	m.0bwfn
m.09zmys	 people person place lived	m.030qb3t
m.02qt_xq	 people person ethnicity	m.0x67
m.0x_90	 people place lived location	m.03tvy7
m.09c7w0	 location location people born here	m.0b5qrf
m.05qmj	 influence influence node influenced	m.06jkm
m.0dl35q	 book publishing company publisher	m.07p5zs
m.02rff2	 education educational institution students graduates	m.0574xy
m.03m719z	 education educational institution campus educational institution	m.03m719z
m.05mv4	 education education institution	m.0520hh
m.088rs3	 education education student	m.01hb1t
m.010n89	 location hud county place place	m.010n89
m.0jrpf	 location us county county seat	m.0rn5g
m.0p17j	 base popstra celebrity infidelity participant	m.0d6nkw
m.01w5m	 education education institution	m.05yzmd
m.0f9x9	 people person place lived	m.0f94t
m.045gvw	 business employment tenure person	m.035nm
m.01c5bb	 influence influence node peers	m.047r25
m.040g24	 people person employment history	m.0537b
m.071pvb	 music artist label	m.01cszh
m.07tgn	 education education institution	m.07066b
m.07x4c	 education educational institution students graduates	m.026g8n
m.0qr50	 location location containedby	m.09c7w0
m.05fkf	 location partial containment relationship partially contained by	m.03zwsw
m.028q26	 business company board members	m.03gkn5
m.0226vh	 people person religion	m.0n2g
m.07b_l	 government government position held jurisdiction of office	m.09b6zr
m.015y98	 people person education	m.07tgn
m.03_3g0	 people person religion	m.03_gx
m.0517lg	 people person nationality	m.09c7w0
m.05kkh	 location location contains	m.04y6yg0
m.080h2	 people place lived location	m.03ctbl
m.06crk	 people person nationality	m.09c7w0
m.06yvwl	 american football football coach coaching history	m.01y3v
m.0560yc	 people person nationality	m.0b90_r
m.01rxqt	 base schemastaging organization extra phone number	m.01znc_
m.0cfzgk	 business sponsor sponsorship	m.037sm4
m.07ssc	 location location contains	m.021qqh
m.0lbp_	 people place of interment interred here	m.0l786
m.0jmjr	 base schemastaging team venue relationship team	m.02kk5s
m.033wx9	 base popstra religion choice member	m.01lp8
m.02hhtj	 people person languages	m.06nm1
m.061czc	 government politician government positions held	m.01h3tl
m.02vs00b	 people person place of birth	m.0dhdp
m.07qzv	 location location people born here	m.02g6c9
m.09c7w0	 location location contains	m.0yvhj
m.0bwk42	 baseball baseball player batting stats	m.01d6g
m.065jj9	 people deceased person place of death	m.0d6lp
m.036dt9	 basketball basketball player player statistics	m.0jm8l
m.06rfnb	 people person place of birth	m.0mzww
m.03c5g1q	 people person place lived	m.0rd6b
m.0517lg	 people person place of birth	m.03l2n
m.01w5m	 education education institution	m.027xm0r
m.0gxrc1	 olympics olympic athlete medals won	m.07bxyf
m.05z4lq	 people person place lived	m.0ncj8
m.01chc7	 people person spouse s	m.06q1r
m.05g3b	 sports sports team roster team	m.0cx1gb
m.02qkt	 location location contains	m.05sb1
m.06vzcjk	 people person nationality	m.0d04z6
m.0y8ty	 location location containedby	m.059rby
m.05tbn	 location location contains	m.06rw0h
m.09c7w0	 location mailing address country	m.02vz3d
m.013d_f	 location location people born here	m.0gl0hx
m.054q4z	 people person education	m.05krk
m.01sjh5	 military military service military force	m.09bg4l
m.0252mn	 people person nationality	m.09c7w0
m.07b8pn	 people person place lived	m.0g5rg
m.02kxbx3	 people sibling relationship sibling	m.02kxbwx
m.02z_pq	 education education student	m.01jsk6
m.0ntkj	 location location contains	m.0skwn
m.09c7w0	 location location contains	m.03v0t
m.0g8rj	 education education institution	m.01w_10
m.0kz2w	 education education institution	m.0262x7_
m.07d79y	 people person place of birth	m.013jqc
m.027k7xg	 people person education	m.04hgpt
m.03gw7ly	 people person nationality	m.09c7w0
m.01fn2z	 education education student	m.02ln0f
m.01m2rb	 location location containedby	m.09c7w0
m.024_vw	 people person place of birth	m.0f94t
m.02ldmw	 location location containedby	m.05fkf
m.0270hcz	 people person place lived	m.04ly1
m.078vx3	 location location containedby	m.05c74
m.04qycj	 people person place lived	m.052p7
m.04szxh	 people person nationality	m.06qd3
m.0276wh8	 location location containedby	m.03_3d
m.012vwb	 education educational institution students graduates	m.064ng45
m.01pgzn_	 base popstra dated participant	m.01m65sp
m.046l8v	 business company headquarters	m.09c7w0
m.013mmr	 location location containedby	m.09c7w0
m.02_286	 people place lived location	m.02krms
m.03v0t	 location location contains	m.02mj7c
m.09c7w0	 location location people born here	m.0glbj_
m.024pwq	 education education student	m.0dzst
m.03cm5jp	 people person education	m.01_f90
m.0v4p3	 location hud county place place	m.0v4p3
m.09c7w0	 location location contains	m.0rm7r
m.03448l	 business company headquarters	m.02jx1
m.034g1z	 people person place lived	m.0fcyj
m.0yc0w	 location hud county place place	m.0yc0w
m.0cv3yl	 film performance actor	m.0865v8
m.01r3y2	 education educational institution students graduates	m.0278lxf
m.03hq7l	 people person education	m.03ksy
m.02d53x	 common topic webpage	m.02d4jl
m.0hptm	 location location contains	m.06_2ksr
m.059rby	 government political district representatives	m.0fsc6
m.010vmb	 location location containedby	m.081yw
m.015q1n	 education educational institution students graduates	m.0ktd3n
m.05c0tky	 people person nationality	m.03shp
m.0yx74	 location location people born here	m.076jgt
m.0dm7g	 people place lived location	m.04ybypn
m.01vg0s	 education education institution	m.05g7q
